,model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
0,RF,fold_0,0.9752737234595363,0.9672489082969432,"[[471   8]
 [ 15 443]]",0.9746974697469747,3.0036780834198,0.26759791374206543,0.0245464247598719,0.9773401352473603,0.9754535752401281,0.9822616407982262
1,RF,fold_1,0.9677275255034596,0.9563318777292577,"[[469  10]
 [ 20 438]]",0.9668874172185431,2.722198009490967,0.07910466194152832,0.03201707577374602,0.9776960493534227,0.967982924226254,0.9776785714285714
2,RF,fold_2,0.9558623770409604,0.9388646288209607,"[[466  13]
 [ 28 430]]",0.9544950055493896,3.269843339920044,0.06314229965209961,0.043756670224119554,0.9787637916716099,0.9562433297758804,0.9706546275395034
3,RF,fold_3,0.9625561805435268,0.9585152838427947,"[[463  16]
 [ 19 439]]",0.9616648411829134,2.6966588497161865,0.04619336128234863,0.03735325506937037,0.9787637916716099,0.9626467449306296,0.9648351648351648
4,RF,fold_4,0.9633607132763855,0.9475982532751092,"[[469  10]
 [ 24 434]]",0.9623059866962307,1.4676637649536133,0.04752039909362793,0.036286019210245435,0.9790010677423182,0.9637139807897546,0.9774774774774775
5,RF,fold_5,0.9690106754428349,0.9672489082969432,"[[465  14]
 [ 15 443]]",0.9683060109289617,1.4881415367126465,0.03125166893005371,0.03094983991462108,0.9775774113180685,0.9690501600853789,0.9693654266958425
6,RF,fold_6,0.9655418153245958,0.9540481400437637,"[[468  11]
 [ 21 436]]",0.9646017699115045,1.4510254859924316,0.029603004455566406,0.03418803418803418,0.9781731909845789,0.9658119658119658,0.9753914988814317
7,RF,fold_7,0.9666359072283157,0.9562363238512035,"[[468  11]
 [ 20 437]]",0.9657458563535911,1.4592275619506836,0.03334927558898926,0.03311965811965811,0.9784104389086595,0.9668803418803419,0.9754464285714286
8,RF,fold_8,0.9721566173145183,0.9693654266958425,"[[467  12]
 [ 14 443]]",0.9714912280701754,1.466459035873413,0.041480064392089844,0.02777777777777779,0.9778173190984579,0.9722222222222222,0.9736263736263736
9,RF,fold_9,0.9731502080830322,0.9671772428884027,"[[469  10]
 [ 15 442]]",0.9724972497249725,1.4633677005767822,0.031219482421875,0.026709401709401726,0.9776986951364176,0.9732905982905983,0.9778761061946902
