,model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
0,XGB,fold_0,0.9796405356866106,0.9759825327510917,"[[471   8]
 [ 11 447]]",0.9791894852135815,1.6245994567871094,0.00834035873413086,0.02027748132337248,0.9862379878989204,0.9797225186766275,0.9824175824175824
1,XGB,fold_1,0.9720464760098824,0.962882096069869,"[[470   9]
 [ 17 441]]",0.9713656387665197,1.5913071632385254,0.0050640106201171875,0.02774813233724649,0.9863566259342745,0.9722518676627535,0.98
2,XGB,fold_2,0.9656398428312258,0.9563318777292577,"[[467  12]
 [ 20 438]]",0.9647577092511014,1.615565538406372,0.008284807205200195,0.03415154749199578,0.9867125400403369,0.9658484525080042,0.9733333333333334
3,XGB,fold_3,0.972094337730534,0.9650655021834061,"[[469  10]
 [ 16 442]]",0.9714285714285714,1.6165459156036377,0.0056951045989990234,0.02774813233724649,0.9871870921817535,0.9722518676627535,0.9778761061946902
4,XGB,fold_4,0.9699109316169968,0.9606986899563319,"[[469  10]
 [ 18 440]]",0.9691629955947135,1.6494779586791992,0.0,0.029882604055496254,0.9862379878989204,0.9701173959445037,0.9777777777777777
5,XGB,fold_5,0.9743734672853743,0.9737991266375546,"[[467  12]
 [ 12 446]]",0.9737991266375546,1.5796542167663574,0.0014598369598388672,0.025613660618996836,0.9857634357575038,0.9743863393810032,0.9737991266375546
6,XGB,fold_6,0.9657428175950078,0.962800875273523,"[[464  15]
 [ 17 440]]",0.9649122807017544,1.583726167678833,0.012322425842285156,0.03418803418803418,0.9862396204033215,0.9658119658119658,0.967032967032967
7,XGB,fold_7,0.9699181829394754,0.962800875273523,"[[468  11]
 [ 17 440]]",0.9691629955947135,1.6003673076629639,0.008375883102416992,0.02991452991452992,0.9861209964412812,0.9700854700854701,0.975609756097561
8,XGB,fold_8,0.9719556150441063,0.9606126914660832,"[[471   8]
 [ 18 439]]",0.9712389380530975,1.6170673370361328,0.0,0.02777777777777779,0.9846975088967972,0.9722222222222222,0.9821029082774049
9,XGB,fold_9,0.9733009597858412,0.973741794310722,"[[466  13]
 [ 12 445]]",0.9726775956284153,1.6493337154388428,0.0,0.026709401709401726,0.9858837485172005,0.9732905982905983,0.9716157205240175
