,model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
0,ANNs,fold_0,0.9764611499576081,0.9737991266375546,"[[469  10]
 [ 12 446]]",0.9759299781181621,80.7372374534607,0.012562274932861328,0.023479188900747072,0.9874243682524617,0.9765208110992529,0.9780701754385965
1,ANNs,fold_1,0.9731860407873025,0.9672489082969432,"[[469  10]
 [ 15 443]]",0.9725576289791438,84.51529812812805,0.014464139938354492,0.026680896478121663,0.9880175584292324,0.9733191035218783,0.977924944812362
2,ANNs,fold_2,0.9626040422641784,0.9606986899563319,"[[462  17]
 [ 18 440]]",0.9617486338797814,73.14680433273315,0.01687788963317871,0.03735325506937037,0.9878989203938783,0.9626467449306296,0.962800875273523
3,ANNs,fold_3,0.9742777438440711,0.9694323144104804,"[[469  10]
 [ 14 444]]",0.9736842105263158,82.99310755729675,0.017246007919311523,0.025613660618996836,0.9886107486060031,0.9743863393810032,0.9779735682819384
4,ANNs,fold_4,0.967679663782808,0.9541484716157205,"[[470   9]
 [ 21 437]]",0.9668141592920354,84.540842294693,0.007554769515991211,0.03201707577374602,0.9883734725352948,0.967982924226254,0.9798206278026906
5,ANNs,fold_5,0.9765568733989114,0.9781659388646288,"[[467  12]
 [ 10 448]]",0.9760348583877995,67.1966507434845,0.008596181869506836,0.023479188900747072,0.9869498161110452,0.9765208110992529,0.9739130434782609
6,ANNs,fold_6,0.9624605418838481,0.9562363238512035,"[[464  15]
 [ 20 437]]",0.9614961496149614,68.1697850227356,0.010172128677368164,0.03739316239316237,0.9880189798339265,0.9626068376068376,0.9668141592920354
7,ANNs,fold_7,0.9730497069478262,0.962800875273523,"[[471   8]
 [ 17 440]]",0.9723756906077348,84.39524865150452,0.015202999114990234,0.026709401709401726,0.9879003558718861,0.9732905982905983,0.9821428571428571
8,ANNs,fold_8,0.9709620242755923,0.962800875273523,"[[469  10]
 [ 17 440]]",0.970231532524807,84.42862939834595,0.012395381927490234,0.028846153846153855,0.9874258600237248,0.9711538461538461,0.9777777777777777
9,ANNs,fold_9,0.9721063667469153,0.9671772428884027,"[[468  11]
 [ 15 442]]",0.9714285714285714,80.13837909698486,0.013629913330078125,0.02777777777777779,0.9880189798339265,0.9722222222222222,0.9757174392935982
