model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc
RF,fold_0,0.8319710156620309,0.9434180138568129,"[[330 128]
 [ 49 817]]",0.9022639425731639,22.634897470474243,0.12494492530822754,0.13368580060422963,0.9699387018221514,0.8663141993957704,0.8645502645502645,0.12494492530822754
RF,fold_1,0.8410828282420808,0.9572748267898383,"[[332 126]
 [ 37 829]]",0.9104887424492039,37.065829038619995,0.29591989517211914,0.12311178247734134,0.9706944327819297,0.8768882175226587,0.8680628272251308,0.29591989517211914
RF,fold_2,0.826575531732505,0.9457274826789839,"[[324 134]
 [ 47 819]]",0.9004947773501925,23.378320455551147,0.1252577304840088,0.13670694864048338,0.9700226719287933,0.8632930513595166,0.8593913955928646,0.1252577304840088
RF,fold_3,0.8546411732303758,0.9434180138568129,"[[350 107]
 [ 49 817]]",0.9128491620111732,28.89362120628357,0.15557074546813965,0.11791383219954643,0.9707808564231738,0.8820861678004536,0.8841991341991342,0.15557074546813965
RF,fold_4,0.8492919987265073,0.9480369515011547,"[[343 114]
 [ 45 821]]",0.9117157134925041,23.979026079177856,0.11952638626098633,0.1201814058956916,0.969521410579345,0.8798185941043084,0.8780748663101604,0.11952638626098633
RF,fold_5,0.8382297946745771,0.9434180138568129,"[[335 122]
 [ 49 817]]",0.9052631578947369,22.49365496635437,0.11553597450256348,0.12925170068027214,0.9707808564231738,0.8707482993197279,0.8700745473908413,0.11553597450256348
RF,fold_6,0.8526349169450327,0.9503464203233256,"[[345 112]
 [ 43 823]]",0.9139367018323153,22.529516220092773,0.13327980041503906,0.11715797430083141,0.9711167086481948,0.8828420256991686,0.8802139037433155,0.13327980041503906
RF,fold_7,0.8487752740283302,0.9491916859122402,"[[342 115]
 [ 44 822]]",0.9118136439267888,23.86747455596924,0.1036994457244873,0.1201814058956916,0.9706968933669186,0.8798185941043084,0.8772678762006404,0.1036994457244873
RF,fold_8,0.8582266614783634,0.9549653579676675,"[[348 109]
 [ 39 827]]",0.9178690344062153,22.678588390350342,0.1175088882446289,0.11186696900982618,0.9686817800167926,0.8881330309901738,0.8835470085470085,0.1175088882446289
RF,fold_9,0.8526806673902617,0.9433526011560693,"[[349 109]
 [ 49 816]]",0.911731843575419,22.343509197235107,0.10294437408447266,0.11942554799697658,0.9707808564231738,0.8805744520030234,0.8821621621621621,0.10294437408447266
