model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc
XGB,fold_0,0.8679644402311486,0.8822170900692841,"[[391  67]
 [102 764]]",0.9004124926340601,40.264710664749146,0.020238399505615234,0.12764350453172202,0.9581759309228278,0.872356495468278,0.9193742478941035,0.020238399505615234
XGB,fold_1,0.8630732071361578,0.9030023094688222,"[[377  81]
 [ 84 782]]",0.9045691150954308,42.637510776519775,0.03332376480102539,0.12462235649546827,0.9571611684544289,0.8753776435045317,0.9061413673232909,0.03332376480102539
XGB,fold_2,0.8510014421573868,0.9006928406466512,"[[367  91]
 [ 86 780]]",0.8981001727115717,22.335132360458374,0.010586023330688477,0.13368580060422963,0.9586150933189073,0.8663141993957704,0.8955223880597015,0.010586023330688477
XGB,fold_3,0.8573801931463859,0.8810623556581986,"[[381  76]
 [103 763]]",0.8950146627565982,19.752548933029175,0.009895086288452148,0.1352985638699924,0.9600431237787211,0.8647014361300076,0.9094159713945172,0.009895086288452148
XGB,fold_4,0.8601457441593685,0.8822170900692841,"[[383  74]
 [102 764]]",0.8967136150234742,19.12347960472107,0.010295867919921875,0.13303099017384734,0.9566945043103449,0.8669690098261527,0.9116945107398569,0.010295867919921875
XGB,fold_5,0.8530038255315062,0.8810623556581986,"[[377  80]
 [103 763]]",0.892919836161498,19.681568145751953,0.009120464324951172,0.13832199546485258,0.958041014570966,0.8616780045351474,0.9051008303677343,0.009120464324951172
XGB,fold_6,0.8706912235131214,0.8879907621247113,"[[390  67]
 [ 97 769]]",0.9036427732079906,18.62362575531006,0.010897159576416016,0.1239606953892668,0.9575427264163638,0.8760393046107332,0.9198564593301436,0.010897159576416016
XGB,fold_7,0.8582923575280093,0.874133949191686,"[[385  72]
 [109 757]]",0.8932153392330384,18.229464054107666,0.010020732879638672,0.13681027966742254,0.9585826665770187,0.8631897203325775,0.9131483715319663,0.010020732879638672
XGB,fold_8,0.8670741506258812,0.8960739030023095,"[[383  74]
 [ 90 776]]",0.9044289044289044,18.81637954711914,0.007586479187011719,0.1239606953892668,0.9565129721736793,0.8760393046107332,0.9129411764705883,0.007586479187011719
XGB,fold_9,0.8637226443193579,0.8890173410404625,"[[384  74]
 [ 96 769]]",0.9004683840749413,28.015430688858032,0.02223825454711914,0.128495842781557,0.9564983888292159,0.871504157218443,0.9122182680901542,0.02223825454711914
