model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc
KNN,fold_0,0.7918301279788618,0.9526558891454965,"[[289 169]
 [ 41 825]]",0.8870967741935484,0.0020112991333007812,0.061647653579711914,0.15861027190332322,0.8699303048114871,0.8413897280966768,0.829979879275654,0.061647653579711914
KNN,fold_1,0.7850277842209828,0.9434180138568129,"[[287 171]
 [ 49 817]]",0.8813376483279395,0.005617618560791016,0.05455946922302246,0.16616314199395765,0.8700142749181291,0.8338368580060423,0.8269230769230769,0.05455946922302246
KNN,fold_2,0.7855421200722088,0.9422632794457275,"[[288 170]
 [ 50 816]]",0.8812095032397409,0.0,0.0610806941986084,0.16616314199395765,0.8708539759845495,0.8338368580060423,0.8275862068965517,0.0610806941986084
KNN,fold_3,0.8036749359463515,0.9399538106235565,"[[305 152]
 [ 52 814]]",0.888646288209607,0.0,0.06389546394348145,0.1541950113378685,0.869857262804366,0.8458049886621315,0.8426501035196687,0.06389546394348145
KNN,fold_4,0.8124276711761109,0.9399538106235565,"[[313 144]
 [ 52 814]]",0.8925438596491226,0.0030565261840820312,0.06142401695251465,0.14814814814814814,0.8701931150293871,0.8518518518518519,0.8496868475991649,0.06142401695251465
KNN,fold_5,0.7831904023125009,0.9515011547344111,"[[281 176]
 [ 42 824]]",0.8831725616291533,0.008012771606445312,0.06689119338989258,0.16477702191987909,0.8686817800167926,0.8352229780801209,0.824,0.06689119338989258
KNN,fold_6,0.8066830569887963,0.9503464203233256,"[[303 154]
 [ 43 823]]",0.8931090613130764,0.0,0.06562948226928711,0.14890400604686316,0.8688497061293031,0.8510959939531368,0.842374616171955,0.06562948226928711
KNN,fold_7,0.8094486080017789,0.9515011547344111,"[[305 152]
 [ 42 824]]",0.8946796959826276,0.0,0.061308860778808594,0.1466364323507181,0.8671704450041982,0.8533635676492819,0.8442622950819673,0.061308860778808594
KNN,fold_8,0.8111200671110415,0.9526558891454965,"[[306 151]
 [ 41 825]]",0.8957654723127036,0.0,0.05527758598327637,0.14512471655328796,0.8671704450041982,0.854875283446712,0.8452868852459017,0.05527758598327637
KNN,fold_9,0.8119670848373173,0.9514450867052023,"[[308 150]
 [ 42 823]]",0.8955386289445049,0.0005903244018554688,0.05640411376953125,0.14512471655328796,0.8681780016792612,0.854875283446712,0.8458376156217883,0.05640411376953125
