,model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
0,Heterogêneo,fold_0,0.9807322387433791,0.9781659388646288,"[[471   8]
 [ 10 448]]",0.9803063457330414,3.2319657802581787,0.1640465259552002,0.019210245464247544,0.9871870921817535,0.9807897545357525,0.9824561403508771
1,Heterogêneo,fold_1,0.9751780000182331,0.962882096069869,"[[473   6]
 [ 17 441]]",0.974585635359116,3.1550300121307373,0.16677451133728027,0.0245464247598719,0.9869498161110452,0.9754535752401281,0.9865771812080537
2,Heterogêneo,fold_2,0.9634564367176888,0.9519650655021834,"[[467  12]
 [ 22 436]]",0.9624724061810154,3.1496121883392334,0.16059494018554688,0.036286019210245435,0.9880175584292324,0.9637139807897546,0.9732142857142857
3,Heterogêneo,fold_3,0.9730903173459993,0.962882096069869,"[[471   8]
 [ 17 441]]",0.9724366041896362,3.1247260570526123,0.16454172134399414,0.026680896478121663,0.9884921105706489,0.9733191035218783,0.9821826280623608
4,Heterogêneo,fold_4,0.9710026346737654,0.962882096069869,"[[469  10]
 [ 17 441]]",0.9702970297029703,3.2263824939727783,0.16673970222473145,0.028815368196371427,0.9886107486060031,0.9711846318036286,0.9778270509977827
5,Heterogêneo,fold_5,0.9786924177917969,0.980349344978166,"[[468  11]
 [  9 449]]",0.9782135076252723,3.1246721744537354,0.15314102172851562,0.021344717182497308,0.9871870921817535,0.9786552828175027,0.9760869565217392
6,Heterogêneo,fold_6,0.9700689346422845,0.9693654266958425,"[[465  14]
 [ 14 443]]",0.9693654266958425,3.1366076469421387,0.1583538055419922,0.02991452991452992,0.9884934756820878,0.9700854700854701,0.9693654266958425
7,Heterogêneo,fold_7,0.9719556150441063,0.9606126914660832,"[[471   8]
 [ 18 439]]",0.9712389380530975,3.122452974319458,0.16649127006530762,0.02777777777777779,0.9881376037959668,0.9722222222222222,0.9821029082774049
8,Heterogêneo,fold_8,0.975388642458075,0.973741794310722,"[[468  11]
 [ 12 445]]",0.9748083242059146,3.099358320236206,0.15966510772705078,0.024572649572649596,0.9865954922894424,0.9754273504273504,0.9758771929824561
9,Heterogêneo,fold_9,0.9710122748431953,0.9649890590809628,"[[468  11]
 [ 16 441]]",0.9702970297029703,3.1389119625091553,0.16434121131896973,0.028846153846153855,0.9880189798339265,0.9711538461538461,0.9756637168141593
