,model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
0,SVM,fold_0,0.9549621208667985,0.9454148471615721,"[[462  17]
 [ 25 433]]",0.9537444933920706,6.008660316467285,0.13182973861694336,0.04482390608324438,0.960256258156365,0.9551760939167556,0.9622222222222222
1,SVM,fold_1,0.9486512111294454,0.9432314410480349,"[[457  22]
 [ 26 432]]",0.9473684210526316,5.666990756988525,0.14125418663024902,0.05122732123799356,0.9555107367421996,0.9487726787620064,0.9515418502202643
2,SVM,fold_2,0.9398697249546453,0.9235807860262009,"[[458  21]
 [ 35 423]]",0.9379157427937918,5.95320987701416,0.14133405685424805,0.05976520811099251,0.9593071538735318,0.9402347918890075,0.9527027027027027
3,SVM,fold_3,0.9530658850771714,0.9541484716157205,"[[456  23]
 [ 21 437]]",0.952069716775599,5.648705959320068,0.192826509475708,0.046958377801494144,0.9609680863684897,0.9530416221985059,0.95
4,SVM,fold_4,0.9443801223436745,0.9388646288209607,"[[455  24]
 [ 28 430]]",0.9429824561403508,5.966588973999023,0.15700650215148926,0.05549626467449309,0.9593071538735318,0.9445037353255069,0.947136563876652
5,SVM,fold_5,0.9543011732958948,0.962882096069869,"[[453  26]
 [ 17 441]]",0.9535135135135135,6.400099515914917,0.15700054168701172,0.04589114194236932,0.9584766876260529,0.9541088580576307,0.9443254817987152
6,SVM,fold_6,0.9496329424448271,0.9431072210065645,"[[458  21]
 [ 26 431]]",0.9482948294829482,2.7598893642425537,0.06317400932312012,0.05021367521367526,0.961447212336892,0.9497863247863247,0.9535398230088495
7,SVM,fold_7,0.9454073265327565,0.9409190371991247,"[[455  24]
 [ 27 430]]",0.9440175631174533,2.460866689682007,0.06628203392028809,0.054487179487179516,0.9595492289442468,0.9455128205128205,0.947136563876652
8,SVM,fold_8,0.9529654687235899,0.9518599562363238,"[[457  22]
 [ 22 435]]",0.9518599562363238,2.436314821243286,0.12369275093078613,0.047008547008547064,0.961091340450771,0.9529914529914529,0.9518599562363238
9,SVM,fold_9,0.9594295190107034,0.9606126914660832,"[[459  20]
 [ 18 439]]",0.9585152838427947,5.695926189422607,0.12620306015014648,0.040598290598290565,0.962514827995255,0.9594017094017094,0.9564270152505446
