model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc
DTR,fold_0,0.8014134150892019,0.9237875288683602,"[[311 147]
 [ 66 800]]",0.882515168229454,0.04711794853210449,0.008049964904785156,0.16087613293051362,0.8975564698967168,0.8391238670694864,0.8447729672650475,0.008049964904785156
DTR,fold_1,0.7831166735580948,0.9133949191685913,"[[299 159]
 [ 75 791]]",0.8711453744493391,0.05126523971557617,0.0,0.17673716012084595,0.8877319674195986,0.823262839879154,0.8326315789473684,0.0
DTR,fold_2,0.781311455570459,0.9272517321016166,"[[291 167]
 [ 63 803]]",0.8747276688453159,0.058570146560668945,0.0,0.1737160120845922,0.8831975816609287,0.8262839879154078,0.8278350515463917,0.0
DTR,fold_3,0.810698096330623,0.894919168591224,"[[332 125]
 [ 91 775]]",0.8776896942242356,0.058112144470214844,0.0,0.16326530612244894,0.8848866498740554,0.8367346938775511,0.8611111111111112,0.0
DTR,fold_4,0.8118212461024554,0.9168591224018475,"[[323 134]
 [ 72 794]]",0.8851727982162765,0.0529024600982666,0.0,0.15570672713529854,0.8794290512174643,0.8442932728647015,0.8556034482758621,0.0
DTR,fold_5,0.776051010455779,0.9087759815242494,"[[294 163]
 [ 79 787]]",0.8667400881057268,0.050670623779296875,0.0,0.18291761148904007,0.8822837951301428,0.8170823885109599,0.828421052631579,0.0
DTR,fold_6,0.7691516618573789,0.9168591224018475,"[[284 173]
 [ 72 794]]",0.8663393344244407,0.04975724220275879,0.0005295276641845703,0.18518518518518523,0.8759865659109992,0.8148148148148148,0.8210961737331954,0.0005295276641845703
DTR,fold_7,0.8067752841354148,0.9330254041570438,"[[311 146]
 [ 58 808]]",0.8879120879120879,0.050089120864868164,0.0,0.1541950113378685,0.8863979848866499,0.8458049886621315,0.8469601677148847,0.0
DTR,fold_8,0.8026414865499972,0.9422632794457275,"[[303 154]
 [ 50 816]]",0.8888888888888888,0.05061912536621094,0.0,0.1541950113378685,0.8670864819479429,0.8458049886621315,0.8412371134020619,0.0
DTR,fold_9,0.782746043365222,0.9213872832369943,"[[295 163]
 [ 68 797]]",0.8734246575342466,0.056673288345336914,0.0,0.17460317460317465,0.8661628883291351,0.8253968253968254,0.8302083333333333,0.0
