,model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
0,LVQ,fold_0,0.8509152984292239,0.722707423580786,"[[469  10]
 [127 331]]",0.8285356695869837,9.346688508987427,0.04901003837585449,0.14621131270010668,0.8463637442163958,0.8537886872998933,0.9706744868035191
1,LVQ,fold_1,0.8334001878002754,0.6855895196506551,"[[470   9]
 [144 314]]",0.8040973111395647,9.118780851364136,0.04652667045593262,0.16328708644610457,0.8486178668881244,0.8367129135538954,0.9721362229102167
2,LVQ,fold_2,0.8328349636706749,0.7074235807860262,"[[459  20]
 [134 324]]",0.8079800498753117,9.35147476196289,0.02980351448059082,0.1643543223052295,0.8573970815043302,0.8356456776947705,0.9418604651162791
3,LVQ,fold_3,0.8796824716704197,0.7969432314410481,"[[461  18]
 [ 93 365]]",0.868014268727705,9.44761037826538,0.04169607162475586,0.11846318036286019,0.8744809585953257,0.8815368196371398,0.9530026109660574
4,LVQ,fold_4,0.8385327875577759,0.7292576419213974,"[[454  25]
 [124 334]]",0.817625458996328,9.040205717086792,0.05283999443054199,0.15901814300960515,0.857990271681101,0.8409818569903948,0.9303621169916435
5,LVQ,fold_5,0.8530987045427609,0.7270742358078602,"[[469  10]
 [125 333]]",0.8314606741573034,16.48077130317688,0.1256406307220459,0.14407684098185702,0.8418554988729386,0.855923159018143,0.9708454810495627
6,LVQ,fold_6,0.8419596807718487,0.7089715536105032,"[[467  12]
 [133 324]]",0.8171500630517022,23.67295813560486,0.0497281551361084,0.15491452991452992,0.8543297746144721,0.8450854700854701,0.9642857142857143
7,LVQ,fold_7,0.8443991174173036,0.7242888402625821,"[[462  17]
 [126 331]]",0.822360248447205,9.296108961105347,0.03912830352783203,0.1527777777777778,0.8601423487544484,0.8472222222222222,0.9511494252873564
8,LVQ,fold_8,0.8614020822007922,0.737417943107221,"[[472   7]
 [120 337]]",0.8414481897627966,9.41404104232788,0.04898571968078613,0.13568376068376065,0.8486358244365362,0.8643162393162394,0.9796511627906976
9,LVQ,fold_9,0.8508745882879631,0.7789934354485777,"[[442  37]
 [101 356]]",0.8376470588235293,17.445080280303955,0.17274260520935059,0.14743589743589747,0.8641755634638197,0.8525641025641025,0.905852417302799
