,model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
0,LGBM,fold_0,0.9817282183588444,0.9759825327510917,"[[473   6]
 [ 11 447]]",0.9813391877058177,0.7781121730804443,0.002001047134399414,0.018143009605122717,0.9864752639696287,0.9818569903948773,0.9867549668874173
1,LGBM,fold_1,0.9719986142892307,0.9606986899563319,"[[471   8]
 [ 18 440]]",0.9713024282560705,0.7548840045928955,0.01562666893005371,0.02774813233724649,0.9875430062878159,0.9722518676627535,0.9821428571428571
2,LGBM,fold_2,0.9656877045518775,0.9585152838427947,"[[466  13]
 [ 19 439]]",0.9648351648351648,0.7885169982910156,0.002722024917602539,0.03415154749199578,0.9873057302171077,0.9658484525080042,0.9712389380530974
3,LGBM,fold_3,0.9731860407873025,0.9672489082969432,"[[469  10]
 [ 15 443]]",0.9725576289791438,0.8691525459289551,0.013004541397094727,0.026680896478121663,0.9881361964645865,0.9733191035218783,0.977924944812362
4,LGBM,fold_4,0.9700066550583002,0.9650655021834061,"[[467  12]
 [ 16 442]]",0.9692982456140351,1.0119144916534424,0.0,0.029882604055496254,0.9873057302171077,0.9701173959445037,0.973568281938326
5,LGBM,fold_5,0.9743734672853743,0.9737991266375546,"[[467  12]
 [ 12 446]]",0.9737991266375546,0.9038100242614746,0.0,0.025613660618996836,0.9864752639696287,0.9743863393810032,0.9737991266375546
6,LGBM,fold_6,0.9602723580764083,0.9518599562363238,"[[464  15]
 [ 22 435]]",0.9592061742006616,0.7639999389648438,0.0,0.0395299145299145,0.9868327402135232,0.9604700854700855,0.9666666666666667
7,LGBM,fold_7,0.9742442999867521,0.9693654266958425,"[[469  10]
 [ 14 443]]",0.9736263736263737,0.7313632965087891,0.0,0.02564102564102566,0.9871886120996441,0.9743589743589743,0.977924944812362
8,LGBM,fold_8,0.9742442999867521,0.9693654266958425,"[[469  10]
 [ 14 443]]",0.9736263736263737,0.7825851440429688,0.0,0.02564102564102566,0.9858837485172005,0.9743589743589743,0.977924944812362
9,LGBM,fold_9,0.975388642458075,0.973741794310722,"[[468  11]
 [ 12 445]]",0.9748083242059146,0.7471091747283936,0.0,0.024572649572649596,0.9870699881376038,0.9754273504273504,0.9758771929824561
