model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc
MLP,fold_0,0.8417207055477677,0.8406466512702079,"[[386  72]
 [138 728]]",0.8739495798319328,93.89001774787903,0.05032777786254883,0.15861027190332322,0.831287101996762,0.8413897280966768,0.91,0.05032777786254883
MLP,fold_1,0.8472321671692367,0.8625866050808314,"[[381  77]
 [119 747]]",0.8840236686390532,52.97738528251648,0.006170034408569336,0.14803625377643503,0.8390339337516023,0.851963746223565,0.9065533980582524,0.006170034408569336
MLP,fold_2,0.8370916828867352,0.851039260969977,"[[377  81]
 [129 737]]",0.8752969121140142,97.049232006073,0.027108430862426758,0.15861027190332322,0.8361509331890722,0.8413897280966768,0.9009779951100244,0.027108430862426758
MLP,fold_3,0.8596606041004442,0.8637413394919169,"[[391  66]
 [118 748]]",0.8904761904761905,88.88531851768494,0.19959425926208496,0.1390778533635676,0.8370729735193047,0.8609221466364324,0.918918918918919,0.19959425926208496
MLP,fold_4,0.8534017919860927,0.8337182448036952,"[[399  58]
 [144 722]]",0.8772782503037667,112.00542664527893,0.025998830795288086,0.15268329554043836,0.8375538793103449,0.8473167044595616,0.9256410256410257,0.025998830795288086
MLP,fold_5,0.847261738115332,0.8498845265588915,"[[386  71]
 [130 736]]",0.8798565451285116,35.53519129753113,0.0010035037994384766,0.15192743764172334,0.8270372369131138,0.8480725623582767,0.9120198265179678,0.0010035037994384766
MLP,fold_6,0.8365659158787352,0.8175519630484989,"[[391  66]
 [158 708]]",0.8634146341463413,119.945965051651,0.16452360153198242,0.1693121693121693,0.8338043331987619,0.8306878306878307,0.9147286821705426,0.16452360153198242
MLP,fold_7,0.843889762028694,0.825635103926097,"[[394  63]
 [151 715]]",0.8698296836982968,162.4399540424347,0.14023780822753906,0.1617535903250189,0.8305654541787131,0.8382464096749811,0.9190231362467867,0.14023780822753906
MLP,fold_8,0.8747012093126677,0.9157043879907621,"[[381  76]
 [ 73 793]]",0.914121037463977,94.96857643127441,0.01561427116394043,0.1126228269085412,0.8302863288076354,0.8873771730914588,0.9125431530494822,0.01561427116394043
MLP,fold_9,0.8432327031324935,0.8196531791907514,"[[397  61]
 [156 709]]",0.8672782874617736,24.12366247177124,0.01405644416809082,0.16402116402116407,0.8302900107411385,0.8359788359788359,0.9207792207792208,0.01405644416809082
