model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc
KNN,fold_0,0.7926142380265639,0.8013856812933026,"[[359  99]
 [172 694]]",0.8366485834840265,0.007318258285522461,0.05718636512756348,0.2046827794561934,0.8752023745277928,0.7953172205438066,0.8751576292559899,0.05718636512756348
KNN,fold_1,0.8007704952751697,0.8002309468822171,"[[367  91]
 [173 693]]",0.84,0.0,0.051238059997558594,0.19939577039274925,0.880051271672401,0.8006042296072508,0.8839285714285714,0.051238059997558594
KNN,fold_2,0.7897173169821596,0.815242494226328,"[[350 108]
 [160 706]]",0.8404761904761905,0.0,0.043351173400878906,0.202416918429003,0.8783473086286178,0.797583081570997,0.8673218673218673,0.043351173400878906
KNN,fold_3,0.7993983757915111,0.7979214780600462,"[[366  91]
 [175 691]]",0.8385922330097088,0.006267547607421875,0.04120588302612305,0.20105820105820105,0.8790512768681356,0.798941798941799,0.8836317135549873,0.04120588302612305
KNN,fold_4,0.8053855600082878,0.7967667436489607,"[[372  85]
 [176 690]]",0.8409506398537476,0.0,0.05040454864501953,0.19727891156462585,0.8776266163793104,0.8027210884353742,0.8903225806451613,0.05040454864501953
KNN,fold_5,0.7878800895487692,0.7967667436489607,"[[356 101]
 [176 690]]",0.8328304164152082,0.0,0.04534769058227539,0.20937263794406646,0.877563410685375,0.7906273620559335,0.8723135271807838,0.04534769058227539
KNN,fold_6,0.8204286919916515,0.8071593533487298,"[[381  76]
 [167 699]]",0.8519195612431445,0.0,0.049808502197265625,0.18367346938775508,0.8794240344502758,0.8163265306122449,0.9019354838709678,0.049808502197265625
KNN,fold_7,0.8162342518988686,0.8140877598152425,"[[374  83]
 [161 705]]",0.8524788391777509,0.0010068416595458984,0.0503690242767334,0.1844293272864701,0.8757479997310563,0.8155706727135299,0.8946700507614214,0.0503690242767334
KNN,fold_8,0.8139854255840632,0.8117782909930716,"[[373  84]
 [163 703]]",0.8505747126436782,0.00063323974609375,0.04409956932067871,0.18669690098261527,0.8772012367253663,0.8133030990173847,0.8932655654383735,0.04409956932067871
KNN,fold_9,0.8104159830375849,0.7976878612716763,"[[377  81]
 [175 690]]",0.8435207823960881,0.0,0.04149222373962402,0.19349962207105065,0.8780880773361976,0.8065003779289494,0.8949416342412452,0.04149222373962402
