,model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision
30,SVM,fold_0,0.9594309057613748,0.9672489082969432,"[[354  18]
 [ 15 443]]",0.9640914036996735,10.698343992233276,0.26094722747802734,0.03975903614457832,0.9670285484519502,0.9602409638554217,0.9609544468546638
31,SVM,fold_1,0.9515805510458577,0.9649890590809628,"[[349  23]
 [ 16 441]]",0.9576547231270359,10.701469421386719,0.2538895606994629,0.04704463208685161,0.9671669793621013,0.9529553679131484,0.9504310344827587
32,SVM,fold_2,0.9519246605962213,0.973741794310722,"[[346  26]
 [ 12 445]]",0.9590517241379309,10.856422424316406,0.28310108184814453,0.045838359469240086,0.9580541409809703,0.9541616405307599,0.9447983014861996
33,SVM,fold_3,0.9435160349168255,0.9649890590809628,"[[343  29]
 [ 16 441]]",0.9514563106796117,10.71126103401184,0.26744508743286133,0.0542822677925211,0.960332350576253,0.9457177322074789,0.9382978723404255
34,SVM,fold_4,0.9640214347897696,0.973741794310722,"[[355  17]
 [ 12 445]]",0.9684439608269858,10.48781132698059,0.2677040100097656,0.0349819059107358,0.9658268560707585,0.9650180940892642,0.9632034632034632
35,SVM,fold_5,0.9448645817394272,0.9759825327510917,"[[339  32]
 [ 11 447]]",0.9541088580576307,10.501682758331299,0.26190924644470215,0.05186972255729794,0.9624765478424016,0.9481302774427021,0.9331941544885177
36,SVM,fold_6,0.9483280170435151,0.9694323144104804,"[[344  27]
 [ 14 444]]",0.9558665231431647,10.455853939056396,0.2528200149536133,0.049457177322074775,0.9647547574376842,0.9505428226779252,0.9426751592356688
37,SVM,fold_7,0.9477483256629669,0.962882096069869,"[[346  25]
 [ 17 441]]",0.9545454545454546,8.224359035491943,0.09563636779785156,0.05066344993968641,0.963146609488073,0.9493365500603136,0.9463519313304721
38,SVM,fold_8,0.9566702762508974,0.9672489082969432,"[[351  20]
 [ 15 443]]",0.9619978284473397,4.6095592975616455,0.11994528770446777,0.04221954161640529,0.9576521039935674,0.9577804583835947,0.9568034557235421
39,SVM,fold_9,0.954042538165468,0.9781659388646288,"[[345  26]
 [ 10 448]]",0.9613733905579398,4.316486835479736,0.12535858154296875,0.043425814234016924,0.9626105601715358,0.9565741857659831,0.9451476793248945
