model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc
SVM,fold_0,0.7098767610960397,0.8498845265588915,"[[261 197]
 [130 736]]",0.8182323513062812,4.438482284545898,0.1395094394683838,0.24697885196374625,0.6666216945493794,0.7530211480362538,0.7888531618435155,0.1395094394683838
SVM,fold_1,0.7392695422410924,0.8868360277136259,"[[271 187]
 [ 98 768]]",0.8434925864909391,4.111154556274414,0.10299801826477051,0.21525679758308158,0.7111920663833232,0.7847432024169184,0.8041884816753927,0.10299801826477051
SVM,fold_2,0.6899134705567938,0.9584295612009238,"[[193 265]
 [ 36 830]]",0.8465068842427333,5.439609527587891,0.34715867042541504,0.2273413897280967,0.6464024885041926,0.7726586102719033,0.7579908675799086,0.34715867042541504
SVM,fold_3,0.7284251646191398,0.9491916859122402,"[[232 225]
 [ 44 822]]",0.8593831677992682,12.337896585464478,0.3548896312713623,0.2033257747543462,0.6659928576241493,0.7966742252456538,0.7851002865329513,0.3548896312713623
SVM,fold_4,0.7181614202475225,0.8083140877598153,"[[287 170]
 [166 700]]",0.8064516129032258,12.496074914932251,0.2984020709991455,0.25396825396825395,0.6331492456896551,0.746031746031746,0.8045977011494253,0.2984020709991455
SVM,fold_5,0.671988467816516,0.9457274826789839,"[[182 275]
 [ 47 819]]",0.8357142857142857,12.439780235290527,0.29826927185058594,0.24338624338624337,0.6377495952509444,0.7566137566137566,0.7486288848263254,0.29826927185058594
SVM,fold_6,0.7802479773197022,0.8602771362586605,"[[320 137]
 [121 745]]",0.8524027459954234,12.729840755462646,0.3926808834075928,0.19501133786848068,0.6989638002960571,0.8049886621315193,0.844671201814059,0.3926808834075928
SVM,fold_7,0.7728609618912377,0.8914549653579676,"[[299 158]
 [ 94 772]]",0.8596881959910911,5.189460277557373,0.1270294189453125,0.19047619047619047,0.7014052309554226,0.8095238095238095,0.8301075268817204,0.1270294189453125
SVM,fold_8,0.6439425715455248,0.8568129330254042,"[[197 260]
 [124 742]]",0.7944325481798715,4.922582387924194,0.13996315002441406,0.2902494331065759,0.5888560290361607,0.7097505668934241,0.7405189620758483,0.13996315002441406
SVM,fold_9,0.723604765630916,0.9734104046242774,"[[217 241]
 [ 23 842]]",0.864476386036961,5.9349730014801025,0.3921213150024414,0.199546485260771,0.6651450053705693,0.800453514739229,0.7774699907663897,0.3921213150024414
