model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc
Heterogêneo,fold_0,0.8461934104500943,0.8845265588914549,"[[370  88]
 [100 766]]",0.8906976744186046,34.07363319396973,0.13049530982971191,0.14199395770392753,0.9643820831084727,0.8580060422960725,0.8969555035128806,0.13049530982971191
Heterogêneo,fold_1,0.8506131690147947,0.9064665127020786,"[[364  94]
 [ 81 785]]",0.8997134670487107,34.202857971191406,0.13407182693481445,0.1321752265861027,0.9670107265735681,0.8678247734138973,0.8930602957906713,0.13407182693481445
Heterogêneo,fold_2,0.8413752937261111,0.8879907621247113,"[[364  94]
 [ 97 769]]",0.8895315211104684,34.25808882713318,0.11444354057312012,0.14425981873111782,0.9672707600757371,0.8557401812688822,0.8910776361529548,0.11444354057312012
Heterogêneo,fold_3,0.8578969178445632,0.8799076212471132,"[[382  75]
 [104 762]]",0.894891368173811,33.944908142089844,0.12045121192932129,0.1352985638699924,0.9665116905868877,0.8647014361300076,0.910394265232975,0.12045121192932129
Heterogêneo,fold_4,0.8566499562868592,0.894919168591224,"[[374  83]
 [ 91 775]]",0.8990719257540603,34.9616904258728,0.11951112747192383,0.1315192743764172,0.9680091594827587,0.8684807256235828,0.9032634032634033,0.11951112747192383
Heterogêneo,fold_5,0.8416068243034955,0.8845265588914549,"[[365  92]
 [100 766]]",0.8886310904872389,33.611225843429565,0.1100778579711914,0.14512471655328796,0.9678899082568807,0.854875283446712,0.8927738927738927,0.1100778579711914
Heterogêneo,fold_6,0.8630325801870822,0.8879907621247113,"[[383  74]
 [ 97 769]]",0.8999414862492685,34.340803384780884,0.12048578262329102,0.12925170068027214,0.9675682949804871,0.8707482993197279,0.9122182680901542,0.12048578262329102
Heterogêneo,fold_7,0.865342049009253,0.8926096997690531,"[[383  74]
 [ 93 773]]",0.9025102159953299,34.990325927734375,0.1301267147064209,0.12622826908541196,0.9665837423519129,0.873771730914588,0.9126328217237308,0.1301267147064209
Heterogêneo,fold_8,0.8649466093258069,0.8983833718244804,"[[380  77]
 [ 88 778]]",0.9041255084253341,35.13943362236023,0.13992905616760254,0.12471655328798181,0.9665949724425326,0.8752834467120182,0.9099415204678363,0.13992905616760254
Heterogêneo,fold_9,0.8504934750233486,0.884393063583815,"[[374  84]
 [100 765]]",0.8926487747957992,41.02343773841858,0.48586344718933105,0.1390778533635676,0.9691863587540279,0.8609221466364324,0.901060070671378,0.48586344718933105
