model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc
LGBM,fold_0,0.8653927609750194,0.8879907621247113,"[[386  72]
 [ 97 769]]",0.9009958992384298,4.540364027023315,0.011462688446044922,0.12764350453172202,0.9599973016729627,0.872356495468278,0.9143876337693222,0.011462688446044922
LGBM,fold_1,0.8604384965257117,0.9064665127020786,"[[373  85]
 [ 81 785]]",0.9043778801843319,3.4801435470581055,0.020066022872924805,0.12537764350453173,0.9600620657086959,0.8746223564954683,0.9022988505747126,0.020066022872924805
LGBM,fold_2,0.8422047863489214,0.8983833718244804,"[[360  98]
 [ 88 778]]",0.8932261768082663,4.374707221984863,0.019682884216308594,0.1404833836858006,0.9573302677846903,0.8595166163141994,0.8881278538812786,0.019682884216308594
LGBM,fold_3,0.8661329283761452,0.8810623556581986,"[[389  68]
 [103 763]]",0.8992339422510314,5.97603178024292,0.020984172821044922,0.12925170068027214,0.9588302675021899,0.8707482993197279,0.9181708784596871,0.020984172821044922
LGBM,fold_4,0.8607231113649112,0.8833718244803695,"[[383  74]
 [101 765]]",0.8973607038123168,4.693427324295044,0.023162126541137695,0.13227513227513232,0.9572332974137931,0.8677248677248677,0.9117997616209773,0.023162126541137695
LGBM,fold_5,0.8547359271481345,0.8845265588914549,"[[377  80]
 [100 766]]",0.8948598130841121,3.6842026710510254,0.013322591781616211,0.13605442176870752,0.9604020507285483,0.8639455782312925,0.9054373522458629,0.013322591781616211
LGBM,fold_6,0.8652814065018875,0.8903002309468823,"[[384  73]
 [ 95 771]]",0.9017543859649123,4.684942245483398,0.020037412643432617,0.12698412698412698,0.9607724397793029,0.873015873015873,0.9135071090047393,0.020037412643432617
LGBM,fold_7,0.8610579085409917,0.8752886836027713,"[[387  70]
 [108 758]]",0.8949232585596223,3.614685297012329,0.02016472816467285,0.13454270597127738,0.9588516103005447,0.8654572940287226,0.9154589371980676,0.02016472816467285
LGBM,fold_8,0.8700822716683259,0.9064665127020786,"[[381  76]
 [ 81 785]]",0.9090909090909092,4.505909442901611,0.011485815048217773,0.11866969009826156,0.9603441322758435,0.8813303099017384,0.9117305458768873,0.011485815048217773
LGBM,fold_9,0.8716863972537042,0.900578034682081,"[[386  72]
 [ 86 779]]",0.907925407925408,3.228972911834717,0.02577662467956543,0.11942554799697658,0.9597878625134264,0.8805744520030234,0.9153936545240893,0.02577662467956543
