model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc,auc
XGB,fold_0,0.8614142218905372,0.8822170900692841,"[[385  73]
 [102 764]]",0.897240164415737,30.470510959625244,0.008312702178955078,0.1321752265861027,0.9585806799784133,0.8678247734138973,0.9127837514934289,0.4287913779830639,0.9347827183153988
XGB,fold_1,0.8608267696683038,0.9006928406466512,"[[376  82]
 [ 86 780]]",0.9027777777777777,21.0733003616333,0.010293722152709961,0.12688821752265866,0.9558793766444039,0.8731117824773413,0.9048723897911833,0.3791377983063895,0.9295082545861614
XGB,fold_2,0.8478624807124056,0.8856812933025404,"[[371  87]
 [ 99 767]]",0.8918604651162791,19.635097980499268,0.009804964065551758,0.1404833836858006,0.9569921558020016,0.8595166163141994,0.8981264637002342,0.3810623556581986,0.9223882328025252
XGB,fold_3,0.8596896619685568,0.8856812933025404,"[[381  76]
 [ 99 767]]",0.8976009362200117,20.300445079803467,0.02141571044921875,0.13227513227513232,0.9586281247894347,0.8677248677248677,0.9098457888493475,0.4164742109314858,0.9301549921417416
XGB,fold_4,0.8578969178445632,0.8799076212471132,"[[382  75]
 [104 762]]",0.894891368173811,20.023417711257935,0.02814459800720215,0.1352985638699924,0.9578394396551724,0.8647014361300076,0.910394265232975,0.45804464973056197,0.9355622823818356
XGB,fold_5,0.8501776320111583,0.8775981524249422,"[[376  81]
 [106 760]]",0.8904510837727007,21.90158724784851,0.0,0.14134542705971276,0.9569616837560713,0.8586545729402872,0.9036860879904876,0.4969207082371055,0.9346854927961756
XGB,fold_6,0.8735174170334696,0.8914549653579676,"[[391  66]
 [ 94 772]]",0.9061032863849765,23.061731100082397,0.015573740005493164,0.12093726379440661,0.9577445835015476,0.8790627362055934,0.9212410501193318,0.4403387220939184,0.9387889691279102
XGB,fold_7,0.865494918663237,0.8775981524249422,"[[390  67]
 [106 760]]",0.8978145304193739,23.823814868927002,0.038159847259521484,0.13076341647770218,0.9580447791299671,0.8692365835222978,0.9189842805320435,0.4210931485758276,0.9387813888144896
XGB,fold_8,0.8730006923352924,0.8926096997690531,"[[390  67]
 [ 93 773]]",0.9062133645955451,24.52190375328064,0.012993097305297852,0.12093726379440661,0.9570506788546848,0.8790627362055934,0.9202380952380952,0.5192455735180909,0.945401529201894
XGB,fold_9,0.8671908524118435,0.8959537572254336,"[[384  74]
 [ 90 775]]",0.9043173862310384,29.86089038848877,0.011264801025390625,0.1239606953892668,0.9588480128893663,0.8760393046107332,0.9128386336866903,0.3822736030828516,0.9271297675240426
