model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc,auc
KNN,fold_0,0.7926142380265639,0.8013856812933026,"[[359  99]
 [172 694]]",0.8366485834840265,0.0,0.05740213394165039,0.2046827794561934,0.8752023745277928,0.7953172205438066,0.8751576292559899,0.26744204943974,0.8766350333309801
KNN,fold_1,0.8007704952751697,0.8002309468822171,"[[367  91]
 [173 693]]",0.84,0.0,0.05493783950805664,0.19939577039274925,0.880051271672401,0.8006042296072508,0.8839285714285714,0.2707554227233619,0.8789861028470003
KNN,fold_2,0.7897173169821596,0.815242494226328,"[[350 108]
 [160 706]]",0.8404761904761905,0.001005411148071289,0.04542827606201172,0.202416918429003,0.8783473086286178,0.797583081570997,0.8673218673218673,0.2352120512282175,0.8728065088697722
KNN,fold_3,0.7993983757915111,0.7979214780600462,"[[366  91]
 [175 691]]",0.8385922330097088,0.0015332698822021484,0.05882120132446289,0.20105820105820105,0.8790512768681356,0.798941798941799,0.8836317135549873,0.28696964698119437,0.8852631126788323
KNN,fold_4,0.8053855600082878,0.7967667436489607,"[[372  85]
 [176 690]]",0.8409506398537476,0.0005054473876953125,0.0567317008972168,0.19727891156462585,0.8776266163793104,0.8027210884353742,0.8903225806451613,0.3471526448916749,0.8919325251034712
KNN,fold_5,0.7878800895487692,0.7967667436489607,"[[356 101]
 [176 690]]",0.8328304164152082,0.0,0.049703121185302734,0.20937263794406646,0.877563410685375,0.7906273620559335,0.8723135271807838,0.2561660553366844,0.8748742931357736
KNN,fold_6,0.8204286919916515,0.8071593533487298,"[[381  76]
 [167 699]]",0.8519195612431445,0.00999593734741211,0.045526742935180664,0.18367346938775508,0.8794240344502758,0.8163265306122449,0.9019354838709678,0.31088625866050806,0.8950505606905161
KNN,fold_7,0.8162342518988686,0.8140877598152425,"[[374  83]
 [161 705]]",0.8524788391777509,0.0,0.04486799240112305,0.1844293272864701,0.8757479997310563,0.8155706727135299,0.8946700507614214,0.266254541280067,0.8935660826456304
KNN,fold_8,0.8139854255840632,0.8117782909930716,"[[373  84]
 [163 703]]",0.8505747126436782,0.004472017288208008,0.054686546325683594,0.18669690098261527,0.8772012367253663,0.8133030990173847,0.8932655654383735,0.30945505418369157,0.8947018662731642
KNN,fold_9,0.8104159830375849,0.7976878612716763,"[[377  81]
 [175 690]]",0.8435207823960881,0.0,0.04003453254699707,0.19349962207105065,0.8780880773361976,0.8065003779289494,0.8949416342412452,0.27638714560968897,0.8971678824746951
