model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc,auc
MLP,fold_0,0.8355688453664392,0.815242494226328,"[[392  66]
 [160 706]]",0.8620268620268621,65.48225545883179,0.015004634857177734,0.17069486404833834,0.8307474365893146,0.8293051359516617,0.9145077720207254,0.43418013856812926,0.9189265508234415
MLP,fold_1,0.8407248101495608,0.9041570438799076,"[[356 102]
 [ 83 783]]",0.894346087949743,45.76049757003784,0.016629695892333984,0.13972809667673713,0.8307360183498617,0.8602719033232629,0.8847457627118644,0.4953810623556582,0.9258473935274363
MLP,fold_2,0.8341519005213953,0.8233256351039261,"[[387  71]
 [153 713]]",0.8642424242424243,49.82583165168762,0.02463221549987793,0.16918429003021151,0.8284419799837707,0.8308157099697885,0.9094387755102041,0.41031562740569666,0.9175650735701968
MLP,fold_3,0.846990110217757,0.8187066974595842,"[[400  57]
 [157 709]]",0.8688725490196079,137.36188173294067,0.02390742301940918,0.1617535903250189,0.8236641735732093,0.8382464096749811,0.9255874673629243,0.3560431100846806,0.9237395202166958
MLP,fold_4,0.8584136425427403,0.8787528868360277,"[[383  74]
 [105 761]]",0.8947677836566725,59.870978355407715,0.000995635986328125,0.1352985638699924,0.8352640086206896,0.8647014361300076,0.911377245508982,0.5196304849884527,0.9348623667759917
MLP,fold_5,0.826806262349594,0.8833718244803695,"[[352 105]
 [101 765]]",0.881336405529954,28.59975290298462,0.009791851043701172,0.15570672713529854,0.8349298434970318,0.8442932728647015,0.8793103448275862,0.46766743648960735,0.9203662807444879
MLP,fold_6,0.8382373749879979,0.8187066974595842,"[[392  65]
 [157 709]]",0.8646341463414634,43.65022325515747,0.0271456241607666,0.16780045351473927,0.8319203337370475,0.8321995464852607,0.9160206718346253,0.40415704387990764,0.9237471005301165
MLP,fold_7,0.8487803275706106,0.8660508083140878,"[[380  77]
 [116 750]]",0.8860011813349085,91.60116147994995,0.02198052406311035,0.14588057445200298,0.8312378134875278,0.854119425547997,0.9068923821039904,0.4287913779830639,0.9265998251474371
MLP,fold_8,0.8721807551002876,0.8822170900692841,"[[394  63]
 [102 764]]",0.90253987005316,46.25444483757019,0.018137216567993164,0.12471655328798181,0.8326387955370346,0.8752834467120182,0.9238210399032648,0.5304080061585835,0.9414547126808537
MLP,fold_9,0.8461241386273569,0.8450867052023121,"[[388  70]
 [134 731]]",0.8775510204081632,25.60297179222107,0.0011785030364990234,0.1541950113378685,0.8323711063372717,0.8458049886621315,0.9126092384519351,0.4115606936416185,0.92642804856501
