model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc,auc
LGBM,fold_0,0.854319412648628,0.9422632794457275,"[[351 107]
 [ 50 816]]",0.91224147568474,0.6663429737091064,0.005011320114135742,0.11858006042296076,0.9711982534217819,0.8814199395770392,0.8840736728060672,0.4245573518090839,0.934127192230503
LGBM,fold_1,0.8491130227820527,0.9515011547344111,"[[342 116]
 [ 42 824]]",0.9125138427464009,0.635040283203125,0.0050737857818603516,0.11933534743202412,0.9727936854479805,0.8806646525679759,0.8765957446808511,0.453810623556582,0.93325735954093
LGBM,fold_2,0.841345038676039,0.9468822170900693,"[[337 121]
 [ 46 820]]",0.9075816270060874,0.7711682319641113,0.0050275325775146484,0.1261329305135952,0.9727936854479805,0.8738670694864048,0.871413390010627,0.4326404926866821,0.9257515858688746
LGBM,fold_3,0.8616011643361414,0.9376443418013857,"[[359  98]
 [ 54 812]]",0.9144144144144145,0.6499309539794922,0.004929542541503906,0.11489040060468636,0.9720403022670026,0.8851095993953136,0.8923076923076924,0.40646651270207856,0.9326842900531127
LGBM,fold_4,0.8615405218287759,0.9353348729792148,"[[360  97]
 [ 56 810]]",0.9137055837563451,0.7055466175079346,0.0005447864532470703,0.11564625850340138,0.97120067170445,0.8843537414965986,0.8930540242557883,0.4949961508852964,0.9390719674956161
LGBM,fold_5,0.8419681525765486,0.9399538106235565,"[[340 117]
 [ 52 814]]",0.905954368391764,0.6749489307403564,0.005530595779418945,0.127739984882842,0.972208228379513,0.872260015117158,0.874328678839957,0.42494226327944573,0.92608436383483
LGBM,fold_6,0.8562519898322729,0.9422632794457275,"[[352 105]
 [ 50 816]]",0.9132624510352546,0.604957103729248,0.004413604736328125,0.11715797430083141,0.9712846347607053,0.8828420256991686,0.8859934853420195,0.4695919938414164,0.9402671302449452
LGBM,fold_7,0.8585008161470783,0.9445727482678984,"[[353 104]
 [ 48 818]]",0.9149888143176733,0.7344226837158203,0.007010221481323242,0.11489040060468636,0.9699412258606214,0.8851095993953136,0.8872017353579176,0.42956120092378747,0.9377529929604156
LGBM,fold_8,0.8626952562398613,0.9376443418013857,"[[360  97]
 [ 54 812]]",0.9149295774647886,0.6095552444458008,0.0033707618713378906,0.11413454270597123,0.9714525608732157,0.8858654572940288,0.8932893289328933,0.554657428791378,0.9422253778786239
LGBM,fold_9,0.8602582224802484,0.9410404624277456,"[[357 101]
 [ 51 814]]",0.9146067415730336,0.6761176586151123,0.005076408386230469,0.11489040060468636,0.9697732997481109,0.8851095993953136,0.8896174863387978,0.39999999999999997,0.9304313804679809
