model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc,auc
MLP,fold_0,0.8490701614611172,0.9099307159353349,"[[361  97]
 [ 78 788]]",0.9000571102227299,34.54304766654968,0.00773310661315918,0.1321752265861027,0.8826097909144345,0.8678247734138973,0.8903954802259887,0.4603541185527329,0.928857771009611
MLP,fold_1,0.8315827425194389,0.9491916859122402,"[[327 131]
 [ 44 822]]",0.9037932930181418,57.62968325614929,0.014014959335327148,0.1321752265861027,0.8848769837937694,0.8678247734138973,0.8625393494228751,0.529253271747498,0.9297830712909829
MLP,fold_2,0.8202774388091613,0.9549653579676675,"[[314 144]
 [ 39 827]]",0.9003810560696788,217.82963061332703,0.008644819259643555,0.13821752265861031,0.8859685951801158,0.8617824773413897,0.8516992790937178,0.46150885296381833,0.9246649253204513
MLP,fold_3,0.8562835744715258,0.9226327944572749,"[[361  96]
 [ 67 799]]",0.9074389551391254,131.50719785690308,0.0,0.12320483749055178,0.8811922753988245,0.8767951625094482,0.8927374301675978,0.35065434949961505,0.9242474012158822
MLP,fold_4,0.8529406562530005,0.9203233256351039,"[[359  98]
 [ 69 797]]",0.905167518455423,88.31966757774353,0.0018055438995361328,0.12622826908541196,0.8808564231738035,0.873771730914588,0.8905027932960894,0.5053887605850654,0.9360954310924242
MLP,fold_5,0.824583967131761,0.9445727482678984,"[[322 135]
 [ 48 818]]",0.8993952721275426,206.32207775115967,0.0,0.13832199546485258,0.8861460957178842,0.8616780045351474,0.8583420776495279,0.4607390300230947,0.9257685174423012
MLP,fold_6,0.8517252793345496,0.9157043879907621,"[[360  97]
 [ 73 793]]",0.9031890660592256,112.19981503486633,0.0025963783264160156,0.128495842781557,0.8851385390428211,0.871504157218443,0.8910112359550562,0.43764434180138573,0.9308902825435489
MLP,fold_7,0.8543670185616608,0.953810623556582,"[[345 112]
 [ 40 826]]",0.9157427937915743,134.30216670036316,0.0,0.11489040060468636,0.8869017632241813,0.8851095993953136,0.8805970149253731,0.44187836797536567,0.9353727745463183
MLP,fold_8,0.8651550679448761,0.9688221709006929,"[[348 109]
 [ 27 839]]",0.9250275633958104,129.49246215820312,0.009605884552001953,0.10279667422524563,0.8859781696053737,0.8972033257747544,0.8850210970464135,0.4984603541185528,0.942862124205962
MLP,fold_9,0.8488906277608097,0.9248554913294798,"[[354 104]
 [ 65 800]]",0.9044657998869418,168.38989210128784,0.008633852005004883,0.127739984882842,0.8847187237615449,0.872260015117158,0.8849557522123894,0.4651252408477842,0.9291793926849584
