model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc,auc
Heterogêneo,fold_0,0.8641749952096172,0.8833718244803695,"[[387  71]
 [101 765]]",0.8989424206815512,184.09520411491394,0.032378196716308594,0.12990936555891242,0.9601996762007555,0.8700906344410876,0.9150717703349283,0.4565050038491147,0.9359021551680667
Heterogêneo,fold_1,0.864805308752786,0.9064665127020786,"[[377  81]
 [ 81 785]]",0.9064665127020786,298.16238260269165,0.0164182186126709,0.12235649546827798,0.9612089320650341,0.877643504531722,0.9064665127020786,0.4287913779830639,0.9355945621590005
Heterogêneo,fold_2,0.8475372389241305,0.8937644341801386,"[[367  91]
 [ 92 774]]",0.8942807625649913,274.6454348564148,0.015369892120361328,0.13821752265861031,0.9587503381119827,0.8617824773413897,0.8947976878612717,0.40454195535026943,0.9233992557257682
Heterogêneo,fold_3,0.8671057352651341,0.8764434180138568,"[[392  65]
 [107 759]]",0.898224852071006,230.73067212104797,0.031260013580322266,0.13000755857898716,0.9613907418637558,0.8699924414210128,0.9211165048543689,0.4126250962278675,0.9321006059197194
Heterogêneo,fold_4,0.8633673773631627,0.8799076212471132,"[[387  70]
 [104 762]]",0.8975265017667845,235.23243832588196,0.02178478240966797,0.1315192743764172,0.9595905172413793,0.8684807256235828,0.9158653846153846,0.47074672825250197,0.9375356906423559
Heterogêneo,fold_5,0.8502382745185237,0.8799076212471132,"[[375  82]
 [104 762]]",0.8912280701754385,223.57573986053467,0.019213199615478516,0.14058956916099774,0.9624257960064759,0.8594104308390023,0.9028436018957346,0.45958429561200925,0.9333639914898348
Heterogêneo,fold_6,0.8673483052945963,0.8856812933025404,"[[388  69]
 [ 99 767]]",0.9012925969447709,100.24967217445374,0.015623807907104492,0.12698412698412698,0.9633292961916297,0.873015873015873,0.9174641148325359,0.45996920708237105,0.9394055012861264
Heterogêneo,fold_7,0.8654342761558714,0.8752886836027713,"[[391  66]
 [108 758]]",0.8970414201183432,98.132000207901,0.014707565307617188,0.1315192743764172,0.9613393397431588,0.8684807256235828,0.9199029126213593,0.4287913779830639,0.9401862735684577
Heterogêneo,fold_8,0.8688062522425094,0.8995381062355658,"[[383  74]
 [ 87 779]]",0.9063408958696917,98.18057537078857,0.02253866195678711,0.12169312169312174,0.9618900389837344,0.8783068783068783,0.9132473622508792,0.5257890685142418,0.9449037552872686
Heterogêneo,fold_9,0.8671264861044501,0.8936416184971099,"[[385  73]
 [ 92 773]]",0.9035651665692578,110.09029769897461,0.015624284744262695,0.12471655328798181,0.9626074113856069,0.8752834467120182,0.9137115839243499,0.37341040462427744,0.9274301436252114
