model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc,auc
LVQ,fold_0,0.7217190919450971,0.9237875288683602,"[[238 220]
 [ 66 800]]",0.848356309650053,105.15931487083435,0.15019965171813965,0.21601208459214505,0.7952808800067176,0.783987915407855,0.7843137254901961,0.18283294842186296,0.8301506701493591
LVQ,fold_1,0.7196718335568846,0.9087759815242494,"[[243 215]
 [ 79 787]]",0.842612419700214,167.09083580970764,0.63991379737854,0.22205438066465255,0.7997312956587455,0.7779456193353474,0.7854291417165669,0.1601231716705158,0.8130237905543733
LVQ,fold_2,0.7235142249160422,0.9295612009237876,"[[237 221]
 [ 61 805]]",0.8509513742071881,96.7196524143219,0.12864470481872559,0.21299093655589119,0.7926778067008146,0.7870090634441088,0.7846003898635477,0.22324865280985373,0.8287816291335962
LVQ,fold_3,0.7424057893380365,0.9399538106235565,"[[249 208]
 [ 52 814]]",0.8622881355932204,45.25241780281067,0.17818403244018555,0.19652305366591083,0.7929471032745592,0.8034769463340892,0.7964774951076321,0.1624326404926867,0.8379783809461242
LVQ,fold_4,0.7400356780085,0.9330254041570438,"[[250 207]
 [ 58 808]]",0.8591174906964381,126.31404757499695,0.14996337890625,0.20030234315948603,0.7910159529806885,0.799697656840514,0.7960591133004926,0.2494226327944573,0.8523885567588602
LVQ,fold_5,0.6613191766768917,0.976905311778291,"[[158 299]
 [ 20 846]]",0.8413724515166584,65.76749849319458,0.23344635963439941,0.2411186696900982,0.7565910999160369,0.7588813303099018,0.7388646288209607,0.1439568899153195,0.7765778422385171
LVQ,fold_6,0.7472091812756152,0.9145496535796767,"[[265 192]
 [ 74 792]]",0.8562162162162162,54.82964086532593,0.1390550136566162,0.20105820105820105,0.7907640638119228,0.798941798941799,0.8048780487804879,0.15665896843725943,0.8405026253152147
LVQ,fold_7,0.73423042131382,0.941108545034642,"[[241 216]
 [ 51 815]]",0.8592514496573538,128.40697169303894,0.14997172355651855,0.20181405895691606,0.787825356842989,0.7981859410430839,0.7904946653734238,0.24364896073903,0.8410964165331688
LVQ,fold_8,0.7306449330658324,0.9295612009237876,"[[243 214]
 [ 61 805]]",0.8541114058355437,50.64992570877075,0.23271918296813965,0.20786092214663643,0.7877413937867338,0.7921390778533636,0.7899901864573111,0.26250962278675904,0.8466755272107982
LVQ,fold_9,0.7356109750864528,0.9341040462427745,"[[246 212]
 [ 57 808]]",0.8572944297082228,127.45509552955627,0.13994264602661133,0.2033257747543462,0.7875734676742233,0.7966742252456538,0.792156862745098,0.2470134874759152,0.8531236590352624
