model_name,fold,ACSA,recall,CM,f1_score,training_time,inference_time,error_rate,train_accuracy,test_accuracy,precision,loacc,auc
RF,fold_0,0.8319710156620309,0.9434180138568129,"[[330 128]
 [ 49 817]]",0.9022639425731639,25.21230125427246,0.15799927711486816,0.13368580060422963,0.9699387018221514,0.8663141993957704,0.8645502645502645,0.4946112394149346,0.9359677077765562
RF,fold_1,0.8410828282420808,0.9572748267898383,"[[332 126]
 [ 37 829]]",0.9104887424492039,25.290114402770996,0.16350007057189941,0.12311178247734134,0.9706944327819297,0.8768882175226587,0.8680628272251308,0.46497305619707463,0.9310436983773207
RF,fold_2,0.826575531732505,0.9457274826789839,"[[324 134]
 [ 47 819]]",0.9004947773501925,25.763925075531006,0.13023948669433594,0.13670694864048338,0.9700226719287933,0.8632930513595166,0.8593913955928646,0.47421093148575827,0.9233110118297245
RF,fold_3,0.8546411732303758,0.9434180138568129,"[[350 107]
 [ 49 817]]",0.9128491620111732,32.695242166519165,0.17419099807739258,0.11791383219954643,0.9707808564231738,0.8820861678004536,0.8841991341991342,0.390685142417244,0.9287298932186517
RF,fold_4,0.8492919987265073,0.9480369515011547,"[[343 114]
 [ 45 821]]",0.9117157134925041,31.42019009590149,0.19602560997009277,0.1201814058956916,0.969521410579345,0.8798185941043084,0.8780748663101604,0.5381062355658198,0.936103011405845
RF,fold_5,0.8382297946745771,0.9434180138568129,"[[335 122]
 [ 49 817]]",0.9052631578947369,38.266141414642334,0.3852229118347168,0.12925170068027214,0.9707808564231738,0.8707482993197279,0.8700745473908413,0.4234026173979985,0.9252859041545171
RF,fold_6,0.8526349169450327,0.9503464203233256,"[[345 112]
 [ 43 823]]",0.9139367018323153,67.39422416687012,0.4117598533630371,0.11715797430083141,0.9711167086481948,0.8828420256991686,0.8802139037433155,0.4622786759045419,0.9393170642962185
RF,fold_7,0.8487752740283302,0.9491916859122402,"[[342 115]
 [ 44 822]]",0.9118136439267888,47.395267963409424,0.374896764755249,0.1201814058956916,0.9706968933669186,0.8798185941043084,0.8772678762006404,0.42725173210161665,0.9362192428782955
RF,fold_8,0.8582266614783634,0.9549653579676675,"[[348 109]
 [ 39 827]]",0.9178690344062153,66.55330204963684,0.37206554412841797,0.11186696900982618,0.9686817800167926,0.8881330309901738,0.8835470085470085,0.5415704387990763,0.9445474805564961
RF,fold_9,0.8526806673902617,0.9433526011560693,"[[349 109]
 [ 49 816]]",0.911731843575419,67.15636730194092,0.39481401443481445,0.11942554799697658,0.9707808564231738,0.8805744520030234,0.8821621621621621,0.49402697495183046,0.9349900295327763
